,question,modified_relation
270,Which object can be found in a jazz club,AtLocation
271,Tell me the name of the cosmetics shown in this image?,Category
569,what object in this image is a cosmetic placed on the lips?,Category
272,What is the object shown in this image used for,UsedFor
383,Which item in this image is used for colouring the lips?,UsedFor
3756,Which item in this image is to color lips?,UsedFor
273,Where can you find the object in this image,AtLocation
274,Which object in this image has a tail,HasA
5221,What object has tail?,HasA
275,what object in this image is commonly eaten for lunch?,IsA
276,Which object in this image can cut you,CapableOf
277,Which object in this image can be used for cutting things,UsedFor
1905,Which object in this image is used for cutting things?,UsedFor
278,Which object in this image is able to cut food,CapableOf
5005,Which object in this image is capable of cut food?,CapableOf
279,Which object in this photo can hurt you,CapableOf
974,Which thing in the image can hurt you?,CapableOf
3519,Which object in this image can carry person?,UsedFor
5819,What object in this image is used to carry people?,UsedFor
3960,Which object in this image is capcable of carrying person?,UsedFor
3518,Which food in this image is designed in Italian ?,Category
3517,Which food in this image is designed in Italian ?,Category
3665,Which object in this image is of Italian design?,Category
3513,Which animal in this image can sun itself on a rock?,CapableOf
3512,Which object pictured in this image is a game system?,IsA
1627,Which gaming system are the person playing in this image?,IsA
852,Tell me the name of the gaming system shown in this image,IsA
3511,Which object in this image is used for preparing food?,UsedFor
3483,Which object in this image is used for preparing food?,UsedFor
3510,Which object in this image could be used to heat a pot?,CapableOf
4656,Which object in this image might be used to heat a pot?,CapableOf
823,What object in this image can heat a pot?,CapableOf
3516,What can you find on the pizzas in this this image?,AtLocation
3515,Which object in this image can be found in petshop?,AtLocation
5896,What object can be found in a petshop?,AtLocation
3514,What is this place used for?,UsedFor
5034,What is this place used for?,UsedFor
2688,what object in this image can be male or female?,HasProperty
2689,what object in this image can smell things?,CapableOf
2672,which object in this image has a sense of smell?,CapableOf
5871,which object in this picture can smell,CapableOf
2684,which object in this image is capable of doing a job to earn money?,CapableOf
2685,what object in this image can dance to music?,CapableOf
2686,what object in this image can post a letter?,CapableOf
2687,what object in this image can walk?,CapableOf
2680,which object in this image is capable of painting a house and a bedroom?,CapableOf
2681,which object in this image is capable of smelling dirty shoes?,CapableOf
2682,which object in this image is capable of owning an object?,CapableOf
5633,which object in this image is capable of owning a object?,CapableOf
2683,what object in this image can loose weight?,CapableOf
99,What is the purple object in the image can be used for?,UsedFor
4972,Which object in this image is used for packing?,UsedFor
98,What thing in the image you can use to pack clothing,UsedFor
5815,Which object in this image is used to pack clothing?,UsedFor
4878,Which object in this image is used for packing clothing?,UsedFor
4137,Which object in this image is used for packing clothes?,UsedFor
91,What object in this image is used for covering hands?,RelatedTo
90,which object in this image is used for jazz,UsedFor
283,which object is this image is used for jazz,UsedFor
284,which object in this image is used for jazz,UsedFor
93,What is the tropical fruit?,HasProperty
92,What is the yellow fruit?,RelatedTo
95,Which thing in the image do you need in a dark room?,UsedFor
1996,Which indoor furniture in this image brightens up a dark area?,UsedFor
845,Which thing in the image is required in the dark? ,UsedFor
5093,What object can light dark area?,UsedFor
94,What is this place can be used for?,UsedFor
253,This room is used for what?,UsedFor
3993,What can this place in the image be used for?,UsedFor
1608,What is the place used for?,UsedFor
1012,What the room is used for?,UsedFor
4370,What is the place in this image used for?,UsedFor
97,What is the vehicle in the water?,IsA
3199,Which kind of vehicle is in this image?,IsA
3543,Which object in this image is a vehicle?,IsA
96,Whether the animal in the image is bigger or smaller than dolphin?,Comparative
1177,Which object in this image belongs to the category Edible plants?,Category
5876,Which object in this image belongs to the category Edible plants?,Category
5603,Are there any objects in this image belonging to the category of edible plants?,Category
1176,Which object in this image belongs to orange vegetables?,IsA
2167,What vegetable in the image is orange?,IsA
1473,Which object in this image is a orange vegetable?,IsA
1474,Which object in this image is a orange vegetable?,IsA
1175,Which object in this image is related to lawn?,RelatedTo
2239,Which object in this image is related to lawn?,RelatedTo
3173,Which object is this image is also known as 'lawn'?,RelatedTo
1174,Which object in this image is a very large plant?,IsA
1173,Which object in this image is made of wood?,HasProperty
5688,Which object in this image is made of wood?,HasProperty
1172,What is white in this image?,HasProperty
1171,Which winter sport is presented in this image?,Category
4989,Which object in this image belongs to the category snow sports？,Category
5833,Which object is related to the Winter sports in this image?,Category
